0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:20:45 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:22:02 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 4253
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:22:02 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:23:29 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:23:29 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:26:11 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:26:11 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:00 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:00 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:10 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:10 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:13 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:13 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:15 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2870
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:15 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:26 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:26 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:28 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:27:28 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:33:23 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:33:23 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:33:28 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:33:28 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:34:07 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:34:07 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:34:25 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:34:25 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:35:36 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:35:36 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:36:56 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 4103
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:36:56 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:40:16 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 4198
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:40:16 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:40:44 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:40:44 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:44:04 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5200
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:44:04 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:46:27 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5415
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:46:27 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:52:00 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5212
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:52:00 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:55:00 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5237
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:55:00 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:55:39 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5228
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:55:39 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:55:57 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5228
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:55:57 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:56:14 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5219
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:56:14 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:15:22 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:15:22 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:15:28 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:15:28 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:20:16 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:20:17 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:20:48 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:21:21 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5318
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:21:21 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:21:35 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:21:35 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:24:19 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:24:19 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:25:10 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:25:10 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:25:27 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5263
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:25:27 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:26:04 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:26:04 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:26:10 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5260
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:26:10 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:28:44 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:28:44 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:29:38 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:29:38 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:30:11 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:30:11 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:30:38 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:30:38 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:31:56 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:31:56 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:32:19 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:32:19 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:32:41 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:32:41 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:33:12 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4158
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:33:12 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:34:15 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:34:15 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:35:12 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4158
0:0:0:0:0:0:0:1 - - [07/Jul/2020:22:35:12 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
