0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:03:00 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:03:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:03:05 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:03:08 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:03:08 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:03:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:01 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:03 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:03 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:05 +0530] "GET /project_4/ctl/TimeTableCtl?id=1 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:19 +0530] "GET /project_4/ctl/TimeTableCtl?id=1 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:26 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:26 +0530] "GET /jsp/TimeTableView.jsp HTTP/1.1" 404 1036
